"operation_Name","count_total"
"managements-cnhi-myiveco-portal-2-0;rev=1 - getVehiclesStatus",91106
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-contracts",96611
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-contracts-summary",96611
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-values",30345
"contracts-cnhi-myiveco-portal-2-0;rev=1 - getVehicles",16287
"managements-cnhi-myiveco-portal-2-0;rev=1 - VehicleAssociatedByUserGet",171640
"managements-cnhi-myiveco-portal-2-0;rev=1 - getLanguages",217945
"translation-cnhi-myiveco-portal-2-0;rev=1 - uploadNewTranslation",383986
"acl-cnhi-myiveco-portal-2-0;rev=1 - getUserNumberVehicles",75626
"managements-cnhi-myiveco-portal-2-0;rev=1 - setUserSettingsInformation",74778
"contracts-cnhi-myiveco-portal-2-0;rev=1 - contractsVehiclesPost",4590
"contracts-cnhi-myiveco-portal-2-0;rev=1 - put-contracts-id-services",6064
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-contracts-id",33672
"contracts-cnhi-myiveco-portal-2-0;rev=1 - put-contracts-id-discounts",6254
"managements-cnhi-myiveco-portal-2-0;rev=1 - getCountries",53418
"acl-cnhi-myiveco-portal-2-0;rev=1 - getTestDrives",62308
"acl-cnhi-myiveco-portal-2-0;rev=1 - postActivateUser",4771
"acl-cnhi-myiveco-portal-2-0;rev=1 - createSimulateUser",1619
"acl-cnhi-myiveco-portal-2-0;rev=1 - getSimulateUserData",13162
"dashmgt-cnhi-myiveco-portal-2-0;rev=1 - getAdvancedFilters",11576
"contracts-cnhi-myiveco-portal-2-0;rev=1 - contractsClientDataPut",5723
"acl-cnhi-myiveco-portal-2-0;rev=1 - getUserAccessControl",75757
"managements-cnhi-myiveco-portal-2-0;rev=1 - getUserSettings",14545
"acl-cnhi-myiveco-portal-2-0;rev=1 - getGdprFormDescription",46164
"acl-cnhi-myiveco-portal-2-0;rev=1 - getVehiclesInFleetsForFiltersByUser",75613
"acl-cnhi-myiveco-portal-2-0;rev=1 - getUserAggregatedInformation",77384
"dashmgt-cnhi-myiveco-portal-2-0;rev=1 - get-dashboards",34034
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-exports",40127
"acl-cnhi-myiveco-portal-2-0;rev=1 - getVehicleTypes",12145
"acl-cnhi-myiveco-portal-2-0;rev=1 - getVisibilityConesByUser",32173
"dashmgt-cnhi-myiveco-portal-2-0;rev=1 - get-dashboards-id",30733
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-logged-user-v1-userinfo",26629
